"player_name","nation","sport","sport_sub","age","birthdate","start_date","retirement_date","best_rank","date_rank","age_success","start_age","retire_age","sex","career_length"
"Stefano D'Aste","ITA","Motorrace","Motorrace-Men",48,1974,"2005",2015,"7",2012,38,31,41,"male",10
"Stefano Modena","ITA","Motorrace","Motorrace-Men",59,1963,"1987",2000,"8",1991,28,24,37,"male",13
"Stéphane Ortelli","FRA","Motorrace","Motorrace-Men",52,1970,"1997",2019,"13",1998,28,27,49,"male",22
"Steve Soper","GBR","Motorrace","Motorrace-Men",69,1952,"1998",2001,NA,NA,NA,46,49,"male",3
"Steven Kane","GBR","Motorrace","Motorrace-Men",42,1980,"2005",2019,NA,NA,NA,25,39,"male",14
"Tamás Pál Kiss","HUN","Motorrace","Motorrace-Men",NA,1991,NA,2015,NA,NA,NA,NA,24,"male",NA
"Tarso Marques","BRA","Motorrace","Motorrace-Men",46,1976,"2004",2004,"20",2004,28,28,28,"male",0
"Terry Borcheller","USA","Motorrace","Motorrace-Men",56,1966,"2000",2016,NA,NA,NA,34,50,"male",16
"Thomas Biagi","ITA","Motorrace","Motorrace-Men",46,1976,"2003",2013,"1",2003,27,27,37,"male",10
"Tiff Needell","GBR","Motorrace","Motorrace-Men",70,1951,"1999",2011,NA,NA,NA,48,60,"male",12
"Tim Harvey","GBR","Motorrace","Motorrace-Men",60,1961,"1990",2012,NA,NA,NA,29,51,"male",22
"Tim Sugden","GBR","Motorrace","Motorrace-Men",58,1964,"1997",2011,"19",1999,35,33,47,"male",14
"Tom Boardman","GBR","Motorrace","Motorrace-Men",38,1983,"2008",2018,"17",2012,29,25,35,"male",10
"Tom Kimber-Smith","GBR","Motorrace","Motorrace-Men",37,1984,"2012",2017,"19",2012,28,28,33,"male",5
"Tom Kristensen","DNK","Motorrace","Motorrace-Men",54,1967,"2012",2014,"1",2013,46,45,47,"male",2
"Tomas Enge","CZE","Motorrace","Motorrace-Men",45,1976,"2001",2017,"16",2008,32,25,41,"male",16
"Tomas Scheckter","ZAF","Motorrace","Motorrace-Men",41,1980,"2000",2011,"13",2000,20,20,31,"male",11
"Tommi Mäkinen","FIN","Motorrace","Motorrace-Men",57,1964,"1990",2003,"1",1996,32,26,39,"male",13
"Toomas Heikkinen","FIN","Motorrace","Motorrace-Men",31,1991,"2014",2019,"7",2016,25,23,28,"male",5
"Toshihiro Kaneishi","JPN","Motorrace","Motorrace-Men",43,1978,"2000",2014,NA,NA,NA,22,36,"male",14
"Toshio Suzuki","JPN","Motorrace","Motorrace-Men",67,1955,"1993",2008,NA,NA,NA,38,53,"male",15
"Uwe Alzen","DEU","Motorrace","Motorrace-Men",54,1967,"1997",2011,"5",1998,31,30,44,"male",14
"Václav Pech","CZE","Motorrace","Motorrace-Men",45,1976,"2012",2019,"5",2014,38,36,43,"male",7
"Val Hillebrand","BEL","Motorrace","Motorrace-Men",NA,NA,"2004",2005,NA,NA,NA,NA,NA,"male",1
"Victor Garcia","ESP","Motorrace","Motorrace-Men",32,1990,"2009",2011,NA,NA,NA,19,21,"male",2
"Vincent Vosse","BEL","Motorrace","Motorrace-Men",50,1972,"1999",2009,"4",2001,29,27,37,"male",10
"Vincenzo Sospiri","ITA","Motorrace","Motorrace-Men",55,1966,"1998",2002,"8",2002,36,32,36,"male",4
"Vitaly Petrov","RUS","Motorrace","Motorrace-Men",37,1984,"2016",2019,"4",2018,34,32,35,"male",3
"Volkan Isik","TUR","Motorrace","Motorrace-Men",54,1967,"2006",2012,"2",2007,40,39,45,"male",6
"Wayne Taylor","ZAF","Motorrace","Motorrace-Men",65,1956,"1998",2014,NA,NA,NA,42,58,"male",16
"Weiron Tan","MYS","Motorrace","Motorrace-Men",27,1994,"2018",2018,"13",2018,24,24,24,"male",0
"Werner Lupberger","ZAF","Motorrace","Motorrace-Men",46,1975,"2000",2004,"20",2003,28,25,29,"male",4
"Will Hoy","GBR","Motorrace","Motorrace-Men",49,1953,"1999",2000,NA,NA,NA,46,47,"male",1
"William Buller","GBR","Motorrace","Motorrace-Men",29,1992,"2011",2016,"6",2012,20,19,24,"male",5
"Wolfgang Kaufmann","DEU","Motorrace","Motorrace-Men",58,1964,"1997",2010,"5",1999,35,33,46,"male",13
"Wolfgang Reip","BEL","Motorrace","Motorrace-Men",35,1986,"2013",2016,"23",2013,27,27,30,"male",3
"Xavier Maassen","NLD","Motorrace","Motorrace-Men",41,1980,"2015",2015,NA,NA,NA,35,35,"male",0
"Yannick Dalmas","FRA","Motorrace","Motorrace-Men",60,1961,"1997",2002,"3",1998,37,36,41,"male",5
"Yazeed Al-Rajhi","SAU","Motorrace","Motorrace-Men",NA,NA,"2008",2018,"26",2012,NA,NA,NA,"male",10
"Yuriy Protasov","UKR","Motorrace","Motorrace-Men",38,1984,"2008",2018,"10",2010,26,24,34,"male",10
"Zak Brown","USA","Motorrace","Motorrace-Men",49,1972,"1997",2013,"19",1998,26,25,41,"male",16
